Id,TookPriority,Haz
10327,99,Tmaj
10327,1,Sig
10327,1,Tmin
10327,0,HSig
10539,1,Tmaj
10539,1,Sig
10539,0,Tmin
10539,0,HSig
11085,1,Tmaj
11085,0,Sig
11085,0,Tmin
11085,1,HSig
11868,1,Tmaj
11868,0,Sig
11868,1,Tmin
11868,1,HSig
12471,0,Tmaj
12471,1,Sig
12471,1,Tmin
12471,1,HSig
13104,0,Tmaj
13104,1,Sig
13104,0,Tmin
13104,1,HSig
14432,1,Tmaj
14432,0,Sig
14432,1,Tmin
14432,99,HSig
14732,1,Tmaj
14732,1,Sig
14732,1,Tmin
14732,1,HSig
15266,0,Tmaj
15266,1,Sig
15266,0,Tmin
15266,1,HSig
16067,1,Tmaj
16067,0,Sig
16067,0,Tmin
16067,1,HSig
17381,0,Tmaj
17381,1,Sig
17381,0,Tmin
17381,1,HSig
18514,0,Tmaj
18514,1,Sig
18514,0,Tmin
18514,0,HSig
19733,0,Tmaj
19733,0,Sig
19733,0,Tmin
19733,1,HSig
19957,0,Tmaj
19957,1,Sig
19957,0,Tmin
19957,1,HSig
20116,1,Tmaj
20116,1,Sig
20116,1,Tmin
20116,0,HSig
20954,0,Tmaj
20954,1,Sig
20954,0,Tmin
20954,1,HSig
21051,0,Tmaj
21051,1,Sig
21051,0,Tmin
21051,1,HSig
21182,0,Tmaj
21182,0,Sig
21182,1,Tmin
21182,1,HSig
21895,0,Tmaj
21895,1,Sig
21895,0,Tmin
21895,1,HSig
22013,1,Tmaj
22013,0,Sig
22013,0,Tmin
22013,1,HSig
22446,1,Tmaj
22446,1,Sig
22446,1,Tmin
22446,1,HSig
23090,1,Tmaj
23090,1,Sig
23090,0,Tmin
23090,0,HSig
23427,1,Tmaj
23427,1,Sig
23427,0,Tmin
23427,1,HSig
23753,1,Tmaj
23753,1,Sig
23753,1,Tmin
23753,1,HSig
23921,0,Tmaj
23921,1,Sig
23921,0,Tmin
23921,1,HSig
24550,1,Tmaj
24550,0,Sig
24550,0,Tmin
24550,0,HSig
25462,0,Tmaj
25462,1,Sig
25462,99,Tmin
25462,1,HSig
26370,0,Tmaj
26370,1,Sig
26370,0,Tmin
26370,1,HSig
26377,1,Tmaj
26377,1,Sig
26377,0,Tmin
26377,0,HSig
26585,1,Tmaj
26585,99,Sig
26585,1,Tmin
26585,0,HSig
28334,0,Tmaj
28334,0,Sig
28334,0,Tmin
28334,1,HSig
28967,0,Tmaj
28967,0,Sig
28967,0,Tmin
28967,0,HSig
29048,1,Tmaj
29048,1,Sig
29048,0,Tmin
29048,1,HSig
29097,0,Tmaj
29097,1,Sig
29097,0,Tmin
29097,1,HSig
30348,1,Tmaj
30348,1,Sig
30348,0,Tmin
30348,0,HSig
31040,1,Tmaj
31040,1,Sig
31040,99,Tmin
31040,0,HSig
34473,0,Tmaj
34473,1,Sig
34473,1,Tmin
34473,1,HSig
35217,1,Tmaj
35217,0,Sig
35217,1,Tmin
35217,1,HSig
35612,1,Tmaj
35612,1,Sig
35612,0,Tmin
35612,1,HSig
35745,0,Tmaj
35745,1,Sig
35745,0,Tmin
35745,99,HSig
37883,1,Tmaj
37883,1,Sig
37883,0,Tmin
37883,1,HSig
38989,99,Tmaj
38989,1,Sig
38989,1,Tmin
38989,1,HSig
39692,0,Tmaj
39692,1,Sig
39692,0,Tmin
39692,0,HSig
41473,1,Tmaj
41473,0,Sig
41473,1,Tmin
41473,1,HSig
41517,0,Tmaj
41517,1,Sig
41517,0,Tmin
41517,1,HSig
43391,0,Tmaj
43391,1,Sig
43391,1,Tmin
43391,0,HSig
43881,1,Tmaj
43881,0,Sig
43881,0,Tmin
43881,1,HSig
44069,1,Tmaj
44069,99,Sig
44069,1,Tmin
44069,1,HSig
45581,1,Tmaj
45581,1,Sig
45581,1,Tmin
45581,1,HSig
46094,1,Tmaj
46094,1,Sig
46094,0,Tmin
46094,1,HSig
46121,1,Tmaj
46121,0,Sig
46121,0,Tmin
46121,0,HSig
46143,0,Tmaj
46143,0,Sig
46143,0,Tmin
46143,0,HSig
46307,0,Tmaj
46307,1,Sig
46307,0,Tmin
46307,1,HSig
47274,0,Tmaj
47274,1,Sig
47274,0,Tmin
47274,0,HSig
47402,1,Tmaj
47402,1,Sig
47402,0,Tmin
47402,0,HSig
48737,99,Tmaj
48737,1,Sig
48737,1,Tmin
48737,0,HSig
49282,0,Tmaj
49282,1,Sig
49282,0,Tmin
49282,0,HSig
50905,0,Tmaj
50905,0,Sig
50905,0,Tmin
50905,0,HSig
51553,1,Tmaj
51553,0,Sig
51553,0,Tmin
51553,99,HSig
51637,99,Tmaj
51637,0,Sig
51637,0,Tmin
51637,1,HSig
52063,1,Tmaj
52063,1,Sig
52063,99,Tmin
52063,0,HSig
52594,1,Tmaj
52594,1,Sig
52594,0,Tmin
52594,0,HSig
53209,1,Tmaj
53209,1,Sig
53209,1,Tmin
53209,0,HSig
53349,1,Tmaj
53349,1,Sig
53349,0,Tmin
53349,0,HSig
54097,1,Tmaj
54097,1,Sig
54097,1,Tmin
54097,0,HSig
54455,0,Tmaj
54455,0,Sig
54455,0,Tmin
54455,0,HSig
55367,99,Tmaj
55367,1,Sig
55367,0,Tmin
55367,1,HSig
55746,0,Tmaj
55746,1,Sig
55746,1,Tmin
55746,0,HSig
56135,0,Tmaj
56135,0,Sig
56135,0,Tmin
56135,0,HSig
56233,0,Tmaj
56233,1,Sig
56233,0,Tmin
56233,0,HSig
58559,1,Tmaj
58559,0,Sig
58559,0,Tmin
58559,0,HSig
58987,1,Tmaj
58987,1,Sig
58987,1,Tmin
58987,1,HSig
59557,0,Tmaj
59557,1,Sig
59557,0,Tmin
59557,1,HSig
59774,1,Tmaj
59774,0,Sig
59774,1,Tmin
59774,0,HSig
61181,1,Tmaj
61181,0,Sig
61181,0,Tmin
61181,1,HSig
63500,0,Tmaj
63500,1,Sig
63500,0,Tmin
63500,0,HSig
63923,99,Tmaj
63923,0,Sig
63923,1,Tmin
63923,1,HSig
64087,0,Tmaj
64087,0,Sig
64087,0,Tmin
64087,0,HSig
64420,0,Tmaj
64420,1,Sig
64420,0,Tmin
64420,1,HSig
64765,1,Tmaj
64765,0,Sig
64765,0,Tmin
64765,0,HSig
68813,0,Tmaj
68813,1,Sig
68813,0,Tmin
68813,0,HSig
69258,0,Tmaj
69258,1,Sig
69258,0,Tmin
69258,1,HSig
69876,0,Tmaj
69876,0,Sig
69876,0,Tmin
69876,0,HSig
70253,0,Tmaj
70253,1,Sig
70253,1,Tmin
70253,1,HSig
70615,0,Tmaj
70615,1,Sig
70615,1,Tmin
70615,0,HSig
71291,1,Tmaj
71291,1,Sig
71291,0,Tmin
71291,0,HSig
71940,0,Tmaj
71940,0,Sig
71940,0,Tmin
71940,0,HSig
72799,1,Tmaj
72799,0,Sig
72799,1,Tmin
72799,1,HSig
73687,1,Tmaj
73687,0,Sig
73687,1,Tmin
73687,1,HSig
73813,1,Tmaj
73813,1,Sig
73813,0,Tmin
73813,0,HSig
74328,0,Tmaj
74328,0,Sig
74328,0,Tmin
74328,1,HSig
74820,0,Tmaj
74820,1,Sig
74820,0,Tmin
74820,1,HSig
74979,0,Tmaj
74979,1,Sig
74979,0,Tmin
74979,1,HSig
75090,1,Tmaj
75090,0,Sig
75090,1,Tmin
75090,0,HSig
75601,1,Tmaj
75601,1,Sig
75601,1,Tmin
75601,0,HSig
76001,1,Tmaj
76001,1,Sig
76001,1,Tmin
76001,1,HSig
76724,0,Tmaj
76724,0,Sig
76724,0,Tmin
76724,0,HSig
77048,0,Tmaj
77048,0,Sig
77048,0,Tmin
77048,0,HSig
79820,0,Tmaj
79820,0,Sig
79820,99,Tmin
79820,1,HSig
80958,0,Tmaj
80958,1,Sig
80958,0,Tmin
80958,0,HSig
82342,1,Tmaj
82342,0,Sig
82342,0,Tmin
82342,0,HSig
82890,0,Tmaj
82890,1,Sig
82890,0,Tmin
82890,0,HSig
83008,99,Tmaj
83008,1,Sig
83008,0,Tmin
83008,0,HSig
83421,1,Tmaj
83421,1,Sig
83421,0,Tmin
83421,1,HSig
83875,1,Tmaj
83875,1,Sig
83875,0,Tmin
83875,0,HSig
84235,0,Tmaj
84235,0,Sig
84235,0,Tmin
84235,1,HSig
84384,1,Tmaj
84384,1,Sig
84384,1,Tmin
84384,0,HSig
86812,0,Tmaj
86812,1,Sig
86812,0,Tmin
86812,0,HSig
87192,1,Tmaj
87192,1,Sig
87192,1,Tmin
87192,1,HSig
88030,1,Tmaj
88030,1,Sig
88030,99,Tmin
88030,0,HSig
88121,1,Tmaj
88121,1,Sig
88121,1,Tmin
88121,0,HSig
91060,1,Tmaj
91060,1,Sig
91060,0,Tmin
91060,0,HSig
91260,1,Tmaj
91260,0,Sig
91260,0,Tmin
91260,0,HSig
91747,0,Tmaj
91747,1,Sig
91747,0,Tmin
91747,1,HSig
92403,0,Tmaj
92403,0,Sig
92403,99,Tmin
92403,0,HSig
94231,99,Tmaj
94231,0,Sig
94231,99,Tmin
94231,1,HSig
95397,1,Tmaj
95397,1,Sig
95397,99,Tmin
95397,1,HSig
95985,1,Tmaj
95985,1,Sig
95985,0,Tmin
95985,0,HSig
96194,0,Tmaj
96194,1,Sig
96194,0,Tmin
96194,0,HSig
96536,1,Tmaj
96536,1,Sig
96536,99,Tmin
96536,0,HSig
96679,0,Tmaj
96679,1,Sig
96679,0,Tmin
96679,1,HSig
97051,0,Tmaj
97051,1,Sig
97051,0,Tmin
97051,1,HSig
97448,0,Tmaj
97448,0,Sig
97448,0,Tmin
97448,0,HSig
97973,0,Tmaj
97973,0,Sig
97973,0,Tmin
97973,1,HSig
98957,1,Tmaj
98957,0,Sig
98957,0,Tmin
98957,0,HSig
